iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
0	0.662561854	0.662561854	0.6647981705
1	0.6327852595	0.6327852595	0.6414556278
2	0.6068560226	0.6068560226	0.6192845895
3	0.5826010208	0.5826010208	0.5991204197
4	0.5617340054	0.5617340054	0.5810123869
5	0.5418205521	0.5418205521	0.5623092444
6	0.5225355918	0.5225355918	0.5462111543
7	0.5044413835	0.5044413835	0.5305732889
8	0.489615268	0.489615268	0.5173854327
9	0.475609839	0.475609839	0.5046935395
10	0.4627856722	0.4627856722	0.4924843722
11	0.4495979927	0.4495979927	0.4809229206
12	0.4392121851	0.4392121851	0.4709541603
13	0.4284231743	0.4284231743	0.4609144394
14	0.4189923977	0.4189923977	0.4526195153
15	0.4110429339	0.4110429339	0.4452622103
16	0.4025410921	0.4025410921	0.4376571855
17	0.3954352005	0.3954352005	0.43048711
18	0.3884846417	0.3884846417	0.4234341345
19	0.3813796578	0.3813796578	0.417473116
20	0.3759087995	0.3759087995	0.4116984723
21	0.3705642841	0.3705642841	0.4062958309
22	0.3656827662	0.3656827662	0.4013721466
23	0.3618038065	0.3618038065	0.3970893033
24	0.3580090406	0.3580090406	0.3930504763
25	0.3534977727	0.3534977727	0.3884190412
26	0.3491577704	0.3491577704	0.3842217242
27	0.3452686573	0.3452686573	0.380149009
28	0.341709704	0.341709704	0.3765846646
29	0.3384000151	0.3384000151	0.3732649347
30	0.3350064268	0.3350064268	0.3695379616
31	0.3325599078	0.3325599078	0.3669802633
32	0.3296736572	0.3296736572	0.3634467026
33	0.3271665848	0.3271665848	0.3606794616
34	0.3246552413	0.3246552413	0.3579216826
35	0.3224786265	0.3224786265	0.3555259909
36	0.3201745253	0.3201745253	0.3527921977
37	0.3177164328	0.3177164328	0.3498763989
38	0.31623316	0.31623316	0.3480168095
39	0.3149281736	0.3149281736	0.3461585054
40	0.3131712136	0.3131712136	0.3436838802
41	0.3112637309	0.3112637309	0.34141299
42	0.3097218863	0.3097218863	0.3394703644
43	0.3082837017	0.3082837017	0.3379138147
44	0.306959836	0.306959836	0.3363444174
45	0.3055602641	0.3055602641	0.3344889379
46	0.3046919524	0.3046919524	0.333349687
47	0.3037146133	0.3037146133	0.3321259673
48	0.3022683418	0.3022683418	0.3303295847
49	0.3016411206	0.3016411206	0.3293507793
50	0.300538227	0.300538227	0.3279015559
51	0.2999653603	0.2999653603	0.3269581588
52	0.2986362345	0.2986362345	0.3251112775
53	0.297593867	0.297593867	0.3237727477
54	0.2970161513	0.2970161513	0.3228189658
55	0.2962794396	0.2962794396	0.3216895434
56	0.2955187349	0.2955187349	0.3206634834
57	0.2944666008	0.2944666008	0.3192606409
58	0.2935151144	0.2935151144	0.3179945747
59	0.2930560631	0.2930560631	0.31725199
60	0.2922242803	0.2922242803	0.31619074
61	0.2914292165	0.2914292165	0.315101662
62	0.2906293935	0.2906293935	0.3140473963
63	0.2896462878	0.2896462878	0.3124304448
64	0.2890727193	0.2890727193	0.3115055082
65	0.2886314286	0.2886314286	0.3108367265
66	0.2880470122	0.2880470122	0.3099982228
67	0.2876784941	0.2876784941	0.3093898591
68	0.2871672896	0.2871672896	0.3086334974
69	0.286626195	0.286626195	0.3078408873
70	0.286005267	0.286005267	0.3070376708
71	0.2852051974	0.2852051974	0.3059073045
72	0.2847504388	0.2847504388	0.305264539
73	0.2840290126	0.2840290126	0.3044415492
74	0.2837045813	0.2837045813	0.3039384828
75	0.2833560125	0.2833560125	0.3034236162
76	0.2827253433	0.2827253433	0.3025912706
77	0.2821564738	0.2821564738	0.3018563258
78	0.2817062168	0.2817062168	0.3012321369
79	0.280978458	0.280978458	0.3004696727
80	0.2804741214	0.2804741214	0.2997667826
81	0.2798720684	0.2798720684	0.2989734323
82	0.2793498664	0.2793498664	0.2983401853
83	0.2787520149	0.2787520149	0.2975372157
84	0.2782329022	0.2782329022	0.2968606483
85	0.277428155	0.277428155	0.2958041331
86	0.2769478675	0.2769478675	0.295128835
87	0.2765394159	0.2765394159	0.2946508925
88	0.2760750202	0.2760750202	0.2940033902
89	0.2757180482	0.2757180482	0.2935126119
90	0.2754753529	0.2754753529	0.2931517969
91	0.2751076038	0.2751076038	0.2927137781
92	0.2744192058	0.2744192058	0.2916798524
93	0.2742383789	0.2742383789	0.2914261955
94	0.273889648	0.273889648	0.290967216
95	0.2733449806	0.2733449806	0.2902827458
96	0.2727710584	0.2727710584	0.2895115897
97	0.2723651135	0.2723651135	0.2890599867
98	0.2719579963	0.2719579963	0.2886126368
99	0.2714796279	0.2714796279	0.2880041658
100	0.2711538363	0.2711538363	0.2875868321
101	0.270823183	0.270823183	0.2871994898
102	0.2705548052	0.2705548052	0.286841592
103	0.2702982917	0.2702982917	0.286539665
104	0.2696584717	0.2696584717	0.2856703503
105	0.269084179	0.269084179	0.2850323477
106	0.268635081	0.268635081	0.2846324127
107	0.2683016388	0.2683016388	0.2842391312
108	0.2679120809	0.2679120809	0.283731889
109	0.2674077568	0.2674077568	0.2831417699
110	0.2671597292	0.2671597292	0.2828579659
111	0.2668281196	0.2668281196	0.2825136683
112	0.2664850299	0.2664850299	0.2821275018
113	0.266033342	0.266033342	0.2815302733
114	0.2656973839	0.2656973839	0.2811378529
115	0.2652622271	0.2652622271	0.2806912773
116	0.2648978173	0.2648978173	0.280307842
117	0.2643895175	0.2643895175	0.2797778502
118	0.2640082358	0.2640082358	0.279281882
119	0.2636809317	0.2636809317	0.2789021308
120	0.2632357495	0.2632357495	0.2784055021
121	0.2628828823	0.2628828823	0.2779716296
122	0.2624242874	0.2624242874	0.2774291244
123	0.2621131185	0.2621131185	0.2770878034
124	0.2618373083	0.2618373083	0.2767559418
125	0.261475467	0.261475467	0.2763435902
126	0.26115232	0.26115232	0.2759452047
127	0.2606980668	0.2606980668	0.2753918513
128	0.2604611679	0.2604611679	0.2751127144
129	0.2602171228	0.2602171228	0.2748476902
130	0.2597926709	0.2597926709	0.2743887006
131	0.2593965395	0.2593965395	0.2739917512
132	0.2589917212	0.2589917212	0.2735361482
133	0.2584980332	0.2584980332	0.2729602301
134	0.2581418865	0.2581418865	0.2726102758
135	0.2577870617	0.2577870617	0.2721815603
136	0.2574888477	0.2574888477	0.2717597095
137	0.2570211779	0.2570211779	0.2712109866
138	0.256704818	0.256704818	0.2708369334
139	0.2564069071	0.2564069071	0.2705696636
140	0.2561573618	0.2561573618	0.2702684587
141	0.2557633765	0.2557633765	0.2697745559
142	0.2554952728	0.2554952728	0.2694940255
143	0.2553304103	0.2553304103	0.2692665676
144	0.25508748	0.25508748	0.2689853291
145	0.2548157479	0.2548157479	0.2686463279
146	0.2545493828	0.2545493828	0.2683243357
147	0.2542999774	0.2542999774	0.2680349149
148	0.2539533522	0.2539533522	0.2676309393
149	0.2536132423	0.2536132423	0.267216023
150	0.2533491875	0.2533491875	0.2668932861
151	0.2529009659	0.2529009659	0.2663911733
152	0.2524979829	0.2524979829	0.265936188
153	0.2521504313	0.2521504313	0.2655550193
154	0.2518980484	0.2518980484	0.2652516063
155	0.2517220763	0.2517220763	0.2650403219
156	0.2513918077	0.2513918077	0.264683273
157	0.2512490256	0.2512490256	0.2644957754
158	0.2509065442	0.2509065442	0.2640844993
159	0.2506439841	0.2506439841	0.2638305994
160	0.2503977965	0.2503977965	0.2635496535
161	0.2501223138	0.2501223138	0.2632505238
162	0.2499872884	0.2499872884	0.2631060021
163	0.2496887226	0.2496887226	0.2628234704
164	0.2493285847	0.2493285847	0.2624487385
165	0.2491651794	0.2491651794	0.2622790599
166	0.2488925366	0.2488925366	0.2619872276
167	0.2484219842	0.2484219842	0.2614564364
168	0.2481167648	0.2481167648	0.2611240202
169	0.2479201029	0.2479201029	0.2608646509
170	0.2475239233	0.2475239233	0.2604602184
171	0.2473891976	0.2473891976	0.2602994116
172	0.2471639718	0.2471639718	0.2600108795
173	0.2468036459	0.2468036459	0.2596100961
174	0.246673272	0.246673272	0.2594304556
175	0.2464016227	0.2464016227	0.2591260692
176	0.2461495898	0.2461495898	0.2587855585
177	0.2457051178	0.2457051178	0.2583517334
178	0.2454874757	0.2454874757	0.2581207681
179	0.2450482645	0.2450482645	0.257544058
180	0.2448906183	0.2448906183	0.2573519255
181	0.2445824996	0.2445824996	0.2569953157
182	0.2443609372	0.2443609372	0.2567797603
183	0.2441477896	0.2441477896	0.2565320337
184	0.2440376878	0.2440376878	0.2563689808
185	0.243696117	0.243696117	0.2559613652
186	0.2434323266	0.2434323266	0.2556025901
187	0.243162317	0.243162317	0.2552465653
188	0.2430064002	0.2430064002	0.2550469934
189	0.2427235694	0.2427235694	0.254719079
190	0.2425511241	0.2425511241	0.2545268304
191	0.2423397956	0.2423397956	0.2542781132
192	0.2420491977	0.2420491977	0.2539303866
193	0.241902472	0.241902472	0.2537232226
194	0.2416229244	0.2416229244	0.2534526541
195	0.2414550743	0.2414550743	0.2532379709
196	0.241127777	0.241127777	0.2528818421
197	0.2409556819	0.2409556819	0.2526976182
198	0.2406729782	0.2406729782	0.2523879645
199	0.2403501755	0.2403501755	0.2520117491
200	0.2399333895	0.2399333895	0.2515854606
201	0.2396517904	0.2396517904	0.2512686052
202	0.2394040583	0.2394040583	0.2510004007
203	0.2390999681	0.2390999681	0.2506419423
204	0.238819334	0.238819334	0.2503050257
205	0.2386748348	0.2386748348	0.2500984146
206	0.2384319828	0.2384319828	0.2498318171
207	0.2381156015	0.2381156015	0.2494434966
208	0.2377498853	0.2377498853	0.2491439063
209	0.2374760679	0.2374760679	0.2488301031
210	0.2370369694	0.2370369694	0.2482596212
211	0.2367538106	0.2367538106	0.2479636626
212	0.236501342	0.236501342	0.247609511
213	0.2362522257	0.2362522257	0.247311774
214	0.2360607803	0.2360607803	0.2470559498
215	0.2358219851	0.2358219851	0.2467625059
216	0.2357402333	0.2357402333	0.2466666813
217	0.2354983778	0.2354983778	0.2463199524
218	0.235367085	0.235367085	0.2461891792
219	0.2351385696	0.2351385696	0.2459199596
220	0.2348190177	0.2348190177	0.2455480264
221	0.2346201989	0.2346201989	0.245322592
222	0.234267527	0.234267527	0.2448961442
223	0.2341306495	0.2341306495	0.2447421016
224	0.2338863925	0.2338863925	0.2444591503
225	0.2336973503	0.2336973503	0.2442889695
226	0.2335357884	0.2335357884	0.2441262638
227	0.2333842764	0.2333842764	0.2439517464
228	0.2330151061	0.2330151061	0.2435572586
229	0.2328136066	0.2328136066	0.2433189285
230	0.2325924774	0.2325924774	0.2430209331
231	0.232201186	0.232201186	0.242526291
232	0.2319516624	0.2319516624	0.2422197197
233	0.2317136159	0.2317136159	0.2419434271
234	0.2315447769	0.2315447769	0.2417382257
235	0.2313597081	0.2313597081	0.2414858557
236	0.2311655761	0.2311655761	0.2411945383
237	0.2308108572	0.2308108572	0.2407895961
238	0.2306204788	0.2306204788	0.2405657112
239	0.2304026152	0.2304026152	0.2403074306
240	0.2301925806	0.2301925806	0.2400766456
241	0.2300322748	0.2300322748	0.2398979892
242	0.2297463873	0.2297463873	0.239568384
243	0.2295618922	0.2295618922	0.239353659
244	0.2294012974	0.2294012974	0.2391356889
245	0.229192345	0.229192345	0.2389198921
246	0.2290556536	0.2290556536	0.2387693651
247	0.2287197683	0.2287197683	0.2383271102
248	0.2285265316	0.2285265316	0.2381202776
249	0.2281826315	0.2281826315	0.2377050713
250	0.2279226595	0.2279226595	0.2373920485
251	0.2277204777	0.2277204777	0.2371686969
252	0.2274129405	0.2274129405	0.2367956766
253	0.2271886013	0.2271886013	0.2365418694
254	0.226951954	0.226951954	0.2362846237
255	0.2266769011	0.2266769011	0.2359751205
256	0.2264676774	0.2264676774	0.2357536006
257	0.2263092119	0.2263092119	0.235572395
258	0.2259940333	0.2259940333	0.2351678516
259	0.2255469712	0.2255469712	0.2345747995
260	0.2253618891	0.2253618891	0.2343571268
261	0.2250275849	0.2250275849	0.2340588872
262	0.2247141755	0.2247141755	0.2336905906
263	0.2243907209	0.2243907209	0.2333523854
264	0.2242205771	0.2242205771	0.2331732438
265	0.2239218522	0.2239218522	0.2328473125
266	0.2236904555	0.2236904555	0.2325874675
267	0.2235516336	0.2235516336	0.2324287505
268	0.2232069162	0.2232069162	0.2321206408
269	0.2228563543	0.2228563543	0.2317528911
270	0.2226199425	0.2226199425	0.2314976004
271	0.2223705184	0.2223705184	0.2313018298
272	0.2222482663	0.2222482663	0.2311891583
273	0.2218619881	0.2218619881	0.2306914005
274	0.2216697924	0.2216697924	0.2304833002
275	0.2212859476	0.2212859476	0.2300126872
276	0.2210498963	0.2210498963	0.229762049
277	0.2207199344	0.2207199344	0.2293674546
278	0.2202473485	0.2202473485	0.2290775504
279	0.2199754126	0.2199754126	0.2287778188
280	0.2196980981	0.2196980981	0.2285160217
281	0.2193683972	0.2193683972	0.22815901
282	0.2191538932	0.2191538932	0.2279463343
283	0.2188377028	0.2188377028	0.2276472575
284	0.2186432027	0.2186432027	0.2274236671
285	0.2184096412	0.2184096412	0.2271870154
286	0.2181263395	0.2181263395	0.2269485454
287	0.2177655182	0.2177655182	0.2264730701
288	0.2176029628	0.2176029628	0.2263427149
289	0.2173063421	0.2173063421	0.2260185437
290	0.2171541685	0.2171541685	0.2258821802
291	0.2169407839	0.2169407839	0.2256875982
292	0.2166680059	0.2166680059	0.2254286906
