iter	Passed	Remaining
0	133	133007
1	176	88300
2	222	73907
3	262	65384
4	297	59174
5	347	57526
6	397	56406
7	470	58288
8	509	56083
9	542	53745
10	586	52754
11	631	52002
12	692	52556
13	731	51485
14	794	52157
15	851	52365
16	896	51845
17	942	51398
18	995	51402
19	1045	51232
20	1091	50889
21	1140	50687
22	1179	50093
23	1233	50175
24	1270	49566
25	1345	50417
26	1403	50589
27	1453	50443
28	1477	49462
29	1518	49087
30	1589	49699
31	1668	50464
32	1714	50250
33	1772	50364
34	1817	50111
35	1878	50308
36	1922	50039
37	1978	50089
38	2033	50109
39	2080	49935
40	2135	49955
41	2191	49997
42	2222	49458
43	2255	49003
44	2291	48630
45	2334	48414
46	2388	48421
47	2425	48099
48	2482	48178
49	2542	48303
50	2575	47930
51	2604	47482
52	2633	47062
53	2668	46755
54	2724	46813
55	2773	46760
56	2819	46643
57	2881	46800
58	2957	47165
59	3018	47293
60	3072	47301
61	3132	47397
62	3185	47372
63	3255	47609
64	3316	47710
65	3362	47584
66	3403	47401
67	3458	47402
68	3513	47408
69	3627	48189
70	3678	48132
71	3759	48461
72	3827	48605
73	3875	48498
74	3901	48120
75	3925	47720
76	3945	47299
77	3986	47126
78	4033	47027
79	4076	46881
80	4152	47116
81	4187	46875
82	4211	46531
83	4264	46502
84	4322	46532
85	4399	46759
86	4435	46544
87	4474	46369
88	4528	46358
89	4599	46503
90	4673	46680
91	4716	46547
92	4779	46611
93	4820	46458
94	4858	46279
95	4931	46441
96	5002	46570
97	5035	46351
98	5059	46046
99	5097	45873
100	5161	45938
101	5239	46132
102	5293	46096
103	5344	46041
104	5377	45834
105	5444	45915
106	5493	45844
107	5548	45824
108	5633	46047
109	5698	46105
110	5726	45862
111	5782	45843
112	5838	45831
113	5859	45540
114	5920	45562
115	5947	45323
116	5972	45074
117	6004	44880
118	6049	44788
119	6092	44675
120	6125	44501
121	6157	44317
122	6180	44068
123	6239	44080
124	6281	43967
125	6343	44001
126	6364	43749
127	6402	43616
128	6457	43603
129	6493	43457
130	6521	43259
131	6564	43168
132	6629	43216
133	6672	43119
134	6715	43027
135	6758	42934
136	6795	42808
137	6814	42564
138	6838	42357
139	6876	42239
140	6925	42192
141	6976	42153
142	7034	42156
143	7063	41986
144	7110	41926
145	7161	41887
146	7220	41896
147	7288	41956
148	7333	41882
149	7392	41892
150	7436	41811
151	7527	41993
152	7600	42076
153	7658	42069
154	7702	41989
155	7769	42036
156	7842	42108
157	7897	42087
158	7937	41985
159	7998	41994
160	8034	41870
161	8090	41848
162	8128	41737
163	8184	41719
164	8231	41657
165	8268	41539
166	8318	41492
167	8404	41620
168	8472	41661
169	8554	41767
170	8614	41761
171	8685	41809
172	8729	41728
173	8805	41799
174	8859	41767
175	8919	41761
176	8990	41805
177	9037	41734
178	9100	41740
179	9143	41655
180	9205	41655
181	9249	41572
182	9313	41581
183	9366	41538
184	9417	41486
185	9454	41375
186	9540	41477
187	9588	41414
188	9682	41548
189	9762	41620
190	9853	41736
191	9904	41681
192	9957	41634
193	10016	41613
194	10150	41904
195	10201	41846
196	10252	41790
197	10295	41703
198	10360	41703
199	10399	41596
200	10436	41484
201	10494	41460
